page,reference,text
60,PDF page 60,"59 
 
CHAPTER-VII 
Risk Management 
 
7.0 Risk Management 
7.1 A key factor for an organization’s capacity to create sustainable value is the risks that 
the organization is willing to take at the strategic and operational levels and its ability to 
manage them promptly and efficiently. An organization’s capability to identify and 
manage the risks in a competent manner is a critical aspect of corporate governance. 
Risk management is a structured process which enables an organization to address the 
risks existing in its various activities with the goal of achieving desired benefit from 
these activities. It increases the probability of success and reduces both the probability 
of failure and the uncertainty of achieving the organization’s overall objective. 
7.2 The Company has developed the Enterprise Risk Management Framework which has 
been approved by the Audit Committee and also by the World Bank. The Enterprise 
Risk Management Framework has been implemented with effect from 1 st December 
2014. The Top 20 risks each  perceived at this stage during “Planning & Construction 
Phase” and “Operation Phase” have been identified and prioritized. A Risk 
Management structure has already been defined, which comprises of a Risk 
Management Committee ( RMC) consisting of three membe rs. A Chief Risk 
Management Coordinator (CRMCO) being the nodal point for coordinating and 
managing all the risk management activities reviewed and approved by RMC. The head 
of various departments such as Civil, S&T, IT, Administration, Electrical, Operati on, 
Business Development, Finance, Human Resources etc. and  all CGMs act as Risk 
Mitigation Plan Owners (RMPOs) and would be responsible for risk identification, its 
prioritization and for framing the mitigation plan. In order to ensure that there are 
appropriate controls in place for the risk management activities, a risk monitoring and 
assurance mechanism through MIS has been provided for a part of Enterprise Risk 
Management Framework to assess the effectiveness of mitigation plan for a particular 
risk. 
 
While striving to meet the corporate mission and corporate objectives, risks and 
concerns go hand-in-hand along with the opportunities. Risk Management Policy strike 
a balance between company’s strength, weaknesses, opportunities and threats on one 
hand with the real and potential risks on the other hand. 
 
The Company Risk Management Policy established documented Risk Management 
Framework and assign responsibilities to its employees to take corrective and 
preventive measures. The Risk Management Framework is being reviewed and 
upgraded periodically and also Company strives to increase awareness among its 
employees to implement the Risk Management Policy. 
 
7.3 Risk management framework (RMF) 
Ernst & Young LLP after detailed discussion with various stake hold ers prepared a 
draft of Enterprise Risk Management Framework for DFCCIL, which had been 
approved by the Audit Committee of Board of DFCCIL and finalized in consultation 
with competent authorities of DFCCIL and process of Implementation of Risk 
Management Framework within the DFCCIL has already been started from 01.10.2015. 
In this regard, 2 resources for the post of RMCO taken from Ernst & Young LLP to 
implement the said RMF within the DFCCIL which is as under: "
61,PDF page 61,"60 
 
Risk Management 
Framework
Risk Management 
Process
Risk Management 
Structure
Risk Assessment 
and Reporting Risk Mitigation Risk Monitoring 
and Assurance
Roles and 
Responsibilities
Risk Management 
Activity Calendar
Risk Prioritisation
Risk Identification
Risk Rating
Executive Roles
Review Roles
Composition of RM 
authorities
 
 
A robust risk management framework assists DFCCIL in: 
o Early assessment of risks/challenges likely to affect various activities of DFCCIL 
o Viewpoint of major vs minor risks, enabling the organization to identify key risks on 
which organization resources can be used to ensure minimiz ation of their 
materialization 
o A monitoring framework to develop and implement mitigation plans to counter the 
impact of possible risks 
o Forum for senior management to keep track of organization risk profile and their 
mitigation plans 
and it also assist DFC CIL in systematic review to better understand the level of risk 
embedded within the organization strategy, processes and activities.  This allow 
DFCCIL to recognize and prioritize significant risks and identify the weakest critical 
controls that may exist, and develop-implement-monitor mitigation plans for them.  
7.4 Risk Management Structure 
The Risk Management Structure is basically the organization structure of the risk 
Management within DFCCIL and inter -alia defines the responsibilities of various 
department / executives for identifying, prioritization and mitigating the risks. The 
organization’s Risk Management Structure   at present, is as under: 
 
 
 
 "
62,PDF page 62,"61 
 
RISK REPORTING AND AUTHORITY MATRIX IN DFCCIL 
(at present) 
8
Audit Committee of 
Board
Risk Management 
Committee
Chief  Risk 
Management 
Coordinator
ED/WCED/EC GGM/SEMU
/ WC
GGM/P/
WC
GGM/ADMN GGM/
S&T- WC
GM/ SAFETY 
& OP
GGM/IT
GGM/HR
GM/FIN/CF
ALL 14 
CGMs.
GGM/BDGM/  
SECURITY GM/LA W
GM/TS
GGM/ELECT.
/WC-II
GGM/
WC-II
Risk 
Management 
Coordinators
Risk and Mitigation 
Plan Owners 
GM/MA/
EC-II
 
 
7.5 Composition of Risk Management Authorities 
 
Authority Composition 
Risk Management Committee  GM/Fin./CAG(Convenor), ED/EDFC, ED/WDFC 
Risk and Mitigation Plan Owners Corridor-wise functional heads - GGMs/ GMs and 
CGMs/GM(Co-ord.) 
Corporate Internal Audit DFCCIL  internal auditors  
Chief Risk Management 
Coordinator GM/Finance/CAG 
Risk Management Coordinators 
(RMCO)* 
The role of RMCOs are being  performed by  one 
DGM , against the three personnel from risk 
management department (responsible for both the 
corridors) 
RMCO 1: JGM/Civil 
RMCO 2: JGM/Civil  
RMCO 3: DGM/Finance 
 
 
7.6 Risk Management Process  
(i)  Risk Management Process is the process through which Risks are identified, its 
prioritization and mitigation is done and reporting through structured MIS is 
achieved. During the year 2018 -19 Risk Library of DFCCIL was f inalized on the 
basis of Risk Assessment Report received from all RMPOs. DFCCIL has 
identified and prioritized Top 20 risks for Planning & Construction and Operation 
Phase stage based on deliberation with various stake holders and Senior "
63,PDF page 63,"62 
 
Management of the DFCCIL and now in the process of Self -Assessment of 
Implementation of Mitigation Plans and Status for those top 20 -risks. Top 20 
risks identified and prioritized as per the Concurrent Risk Assessment Phase are 
as under: 
Top 20 risk: Planning & Construction and Operation Stage 
 
Risk No. Risk Definition IRR (I*P) Level of Risk  
(Severity)
1 Delay in design submission 625 Critical
2 Inefficient Land Acquisition 
Management System 500 Critical
3 Inadequate staffing 500 Critical
4 Design Failure 500 Critical
5 Fault in ERP-SAP system 500 Critical
6 Ineffective handling of ERP-
SAP system 500 Critical
7 Delay in Implementation of 
PMS module of SAP 500 Critical
8
Cash constraint with the 
contractors for execution of 
works
500 Critical
TOP 20 RISKS OF DFCCIL FOR 2018-19
 
Risk No. Risk Definition IRR (I*P) Level of Risk  
(Severity)
9
Delay/ difficulty in construction 
of RUBs/ROBs
(Issues pertaining to construction 
of RUBs/ ROBs)
400 Critical
10 Disaster management 400 Critical
11 Resource planning 400 Critical
12 Arbitration cases/ Award of land 400 Critical
13 Accidents and 
Mishaps at construction sites 400 Critical
14 Delay in finalization of PPP 
Process 400 Critical
15 Inadequate management of 
contractor 400 Critical
16 Problem of Office Management 375 Critical
TOP 20 RISKS OF DFCCIL FOR 2018-19
 
 "
64,PDF page 64,"63 
 
Risk No. Risk Definition IRR (I*P) Level of Risk  
(Severity)
17 Distortion/ non-accuracy of 
Employee data. 375 Critical
18 Grievance Redressal 
Mechanisiam 375 Critical
19 Increased cost/ budget overrun in 
DFCCIL 300 Critical
20
Problems in matching of IR assets 
at junction and relocating of IR 
assets 
300 Critical 
TOP 20 RISKS OF DFCCIL FOR 2018-19
 
 
 
(iii)  After the risks have been identified & prioritized mitigation plans have to be 
implemented to mitigate such risks. This should be done once in a year and a 
review undertaken on half yearly basis to ensure that the risk is relevant and the 
mitigation plan is actually implemented and is effective. In this regard, DFCCIL 
has completed the ground work for Risk Assessment and Reporting  through the 
Concurrent Risk Identification (meeting mode) and Concurrent Risk Prioritization 
(meeting mode) and at present in the process of Self -Assessment of 
Implementation of Mitigation Plans and Status. Concurrent Risk Assessment and 
Reporting process is as under: 
 
 
 
"
65,PDF page 65,"64 
 
Key  Activities performed/Document prepared by  
  Risk Management Coordinator (RMCO) 
  Risk Mitigation Plan owner (RMPO) 
  Chief Risk Management Coordinator (CRMCO) 
  Risk Management Committee (RMC) 
 
Functional Directors(FD) 
 
Audit Committee of Board(ACB) 
7.7 Periodic Review of the Risk Management Framework  
The status of Risk Management Framework is being regularly coordinated by the 
AGM/Fin -II (CRMCO) in association with the Risk Management Coordinators 
(RMCOs) which is further r eviewed by the Risk Management Committee (RMC) and 
the Audit Committee at regular intervals. The summary of review and Risk 
Management Committee meetings held till date is as under:   
a. Five review meetings have been held till date at CRMCO level on 16 th September 
2015, 16th October 2015, on 21 st January 2016, on 27 th January 2016 and on 16 th 
March 2016 respectively.    
b. Four RMC meetings have been held till date on 16 th May 2016  , 24 th May 2016, 
03 nov,2016 ,30 March , 2017 and 8th September ,2017 respectively. 
c. To enhance the ability of the Risk and Mitigation Plan Owners (RMPOs) two half 
days Knowledge Transfer Sessions were held on 09 th February 2016 and 26 th 
February 2016 and two full days Knowledge Transfer Sessions conducted on 27 th 
June 2016 and 28th June 2016 for the officials reporting to RMPOs. 
d. In the light of Audit Committee’s directives vide minutes of the 32 nd Audit 
Committee a review of the progress made till date was presented before the 
33rdAudit Committee meeting held on 18 th July 2016 in the f orm of presentation. 
Audit Committee further directed to put up the status before the Board and the 
same was also presented before the Board in the Board of Directors’ meeting held 
on 26th July 2016.  
e. Risk Management Committee also decided that after compl etion of award by the 
E & Y, the work would now be done ‘in house’ as a regular DGM/RM has 
already been posted in DFCCIL. 
f. Risk Management Committee also decided that the calendar for the year 2016 -17 
(starting from 01 -10-2016 to 30 -09-2017) would be quarte rly one i.e. at the end 
of each quarter and generated in the month of December, March, June and 
September.  
 
 
 
                                                                          ******** 
 
 
 
 
 "
66,PDF page 66,"65 
 
CHAPTER – VIII 
 
SOCIAL AND ENVIRONMENTAL MANAGEMENT 
 
8.1 As per provisions of Entitlement Matrix approved by Railway Board under The Right to 
Fair Compensation and Transparency in Land Acquisition, Rehabilitation and 
Resettlement Act (RFCT-LARR) – 2013, Land Acquisition under Railway Act 1989 (24 
of 1989), National Rehabilitation and Resettlement Policy (NRRP) -2007 and Operation 
Policies of the World Bank and JICA, Social Impact Assessment (SIA) and Environment 
Impact Assessment (EIA) is required to be carried out to reduce and manage project 
technical risk and to e nsure that social issues are thoroughly evaluated in decision 
making. SIA provides a platform for the participation of stakeholders in project 
design/planning and have been an important instrument for building ownership among 
local populations, which put f orward the likely impacts and mitigation measures. The 
objective of social management is to apprise project proponent about the policies, to 
prevent and mitigate undue harm to people in the development process. SIA study is 
being conducted with the following objectives & methodology: 
i. To ensure adequate R&R package and expeditious implementation of rehabilitation 
process, with the active participation of affected families. 
ii. Develop institutional mechanism for planning, implementing and monitoring the process 
and the R&R activities; 
iii. To minimize involuntary resettlement, exploring all viable project alternatives; 
iv. Where involuntary resettlement is unavoidable, assess the magnitude of adverse social 
impacts and propose mitigation measures; 
v. Address other social iss ues (resulting from the proposed project interventions) related to 
vulnerable groups (including tribal population) 
vi. To provide better standard of living and providing sustainable income to PAPs. 
vii. Special drive to educate PAPs regarding Grievance Redressal Mechanism. 
viii. Identification of the key social issues in the affected area with PAPs,  
ix. Consultations with the likely PAPs including vulnerable groups, PAPs representatives, 
village heads as part of Focus Group Discussions were carried out. Stakeholders  
consultations, meetings and other participatory tools were used to develop rapport with 
the stakeholders,  
x. Assessment of likely impact on livelihood, structures, social cohesion, and the views of 
the people's on various aspects of design gathered during the field survey. 
xi. Initial Social Survey was carried out, administering a questionnaire for collection of  
information on affected people, properties/structures, likely impact on land, type of 
ownership and social groups etc.  
 
  "
67,PDF page 67,"66 
 
8.2  Identification of Impact 
The ce nsus and baseline socio economic survey establishes likely social impacts of 
projects. Some key aspects to be included in the survey are size of land holding, 
economic wellbeing including annual income, employment/livelihood, indebtedness, 
educational status of the school going population, living conditions including type and 
side of housing, fixed and movable assets, problems arising among the affected 
population (declining crop yields, high incidence of disease, and decline in family 
income) requiring remedial action. 
Developing a database with estimates of different categories of PAPs. 
Key indicators for measuring the impact of land acquisition and physical relocation 
includes health and welfare of affected population and the effectiveness of impact 
mitigation measures, including livelihood restoration and development initiatives.  In 
addition to these quantitative indicators, impact monitoring will involve the use of 
qualitative indicators to assess the satisfaction of PAPs with LA and R&R process and 
the adequacy of these initiatives, especially with functioning of the grievance redressal 
mechanism, consultation and people’s participation, transparency and accountability in 
the LA and R&R process, information dissemination and communication with the 
affected population. 
 
8.3 Land Acquisition, Compensation and Social Safeguards Rehabilitation & 
Resettlement benefits 
Land is being acquired by DFCCIL on behalf of Indian Railways (Government of India). 
IR is the custodian of land and all facilitating work is b eing done by DFCCIL. The land 
shall be given to DFCCIL on lease terms as per Concession agreement. 
a. Land is being acquired by Competent Authority (CA), who is generally State 
Government Revenue officer, nominated by MoR through Gazette notification. 
b. Notification under various sections of Railway Act 1989 (24 of 1989) for land 
acquisitions are being done by MoR. 
c. In order to speed up the land acquisition process Addendum -2 (2018) is issued on 
14.12.2018 an addendum to Resettlement Policy Framework, 2011 (Revis ed in 2015). 
This has been undertaken by DFCCIL as guiding principle for its project, The Mutual 
Consent Policy also refer as Direct Purchase method works as an efficient tool to fasten 
up the land acquisition process. 
d. Different State Government like Gover nment of Uttar Pradesh has issued a Direct Land 
Purchase Policy in March 2015 with an objective of reducing the time and effort in 
procuring land through formal acquisition process. 
e. Award/Order given in case of Direct purchase of land from land owners on m utual 
consent shall be treated as 20F (Award) given by the Competent Authority for processing 
of acceptance of award within DFCCIL and shall be dealt in a manner similar to 20F 
(Award) is dealt by officials in DFCCIL. 
f. Land compensation is prepared by the Co mpetent Authority (CA) based on the 
provisions of RFCT -LARR 2013 supplemented by Entitlement Matrix approved by 
MoR. 
g. Market value of land is determined as per the Railway Act 1989 (24 of 1989). With the 
passage of “The Right to Fair Compensation and Transp arency in Land Acquisition, 
Rehabilitation & Resettlement Act, 2013 followed by the Amendment Ordinance, the "
68,PDF page 68,"67 
 
provisions of the new act with regard to compensation & R&R are applicable to all 
acquisition being undertaken by DFCC from 01.01.2015. A new Entit lement Matrix has 
been issued by Railway Board as per the provisions of the new Act and has come into 
force from 01.01.2015. 
h. Any person interested in the land may, within the period of 30 days from the date of 
publication of the 20A notification for declar ation of intention of land acquisition, can 
object to the acquisition of land. 
i. Market value of the building and other immovable property or assets, trees, plants and 
standing crops attached to the land or building which are to be acquired are determined 
by specialist persons with their respective fields, who generally happen to be Govt. 
Functionaries. 
j. Award is declared within one year period from date of notification u/s 20E of Railway 
Act 1989 (24 of 1989). In case of unavoidable circumstances it can be ex tended by 6 
months. Provided further that where an award is made within extended period, the 
entitled person shall be paid an additional compensation for the delay in making of the 
award, every month for the period so extended, at the rate of not less than  5% of the 
value of the award, for each month of such delay. 
k.  As per NRRP -2007, in addition to compensation, an ex -gratia amount not less than 
₹20000 is being given to each affected family whose land is being acquired. 
l. As per NRRP -2007, PAPs who’re rendered landless or reduced to the status of small or 
marginal farmer due to land acquisition shall be entitled to rehabilitation grant equivalent 
to 750 days of minimum agricultural wages. 
m. As per RFCT-LARR 2013, choice of annuity will be provided to affected family wherein 
they can opt for annuity that shall pay not less  than ₹ 2,000 per month per family for 
twenty years (with appropriate indexation to the Consumer Price Index for agricultural 
labourer) or one time financial assistance of ₹ 5,00,000 per affected family. 
n. As per RFCT-LARR 2013, one time financial assistance of not less than ₹ 25,000 will be 
granted to artisan, small traders, and certain others. Each affected family will also be 
granted one time resettlement allowance of ₹ 50,000 and transportation allowance of       
₹ 50,000. 
o. The CA may take inputs from the independent evaluator before deciding the 
compensation for the land who can assist to assess the replacement cost of land and 
assets as follows and provide inputs to the CA: 
(i) Apprise recent sales and transfer of title deeds and registration certificates for  similar 
type of land in the village or urban area and vicinity. 
(ii) Appraise circle rate in urban and rural area and vicinity. 
(iii) Appraise agricultural productivity rate for land - 20 years yield. 
(iv) The compensation for houses, buildings and other immovable proper ties are being 
determined on the basis of replacement cost by referring to relevant Basic Schedule of 
Rates (BSR) as on date without depreciation. While considering the BSR, the 
independent evaluator registered with the Govt. will use the latest BSR for th e residential 
and commercial structures in the urban and rural areas of the region, and in consultation 
with the owner. 
(v) Institution of Arbitrators have been put in place to adjudicate upon R&R benefits and 
land compensation respectively.  
(vi) A new Ombudsman for addressing Grievances will be appointed shortly. "
69,PDF page 69,"68 
 
(vii) For Grievances, Grievances Redressal Committee at district level has been formed along 
with helpline numbers to resolve grievances of PAPs in facilitation by social team of 
CGM units.  
 
8.4  Special R&R benefits to Schedule Tribes and BPL 
As per World Bank Operation Policy 4.10, a separate tribal development plan has to be 
prepared after having separate consultations with the affected tribal community. Each 
affected ST family shall get an additional one ti me financial assistance equivalent to five 
hundred days minimum agricultural wages for loss of customary rights or usage of forest 
produce. Each BPL family shall get an additional one time financial assistance 
equivalent to 300 days minimum wage. 
 
8.5  Monitoring and Evaluation 
Monitoring and Evaluation will focus on effective implementation of Resettlement 
Action Plan (RAP) for this dedicated LA&SEMU unit of DFCCIL monitors RAP 
implementation and routine Social Safeguard issues with different CGM units. To  
monitor the Physical progress of land acquisition, disbursement of compensation, public 
consultations and participation activities, sustainable income restoration and other 
development activities third party Social Environment Safeguard Monitoring and 
Review Consultancy has been engaged. The objective of monitoring is to provide 
feedback on RAP implementation and to identify problems and provide suitable solution 
as early as possible in order to allow smooth implementation arrangements of RAP. The 
monitoring plan identifies organizational responsibilities, methodology, and schedule for 
monitoring and reporting. Three components of monitoring plan include: Performance 
monitoring, impact monitoring and end term evaluation or completion audit.  
 
8.6  Completion Audit/End Evaluation 
The key objective of this external evaluation, or completion audit, will be to determine 
whether the efforts made to restore the living standards of the affected population have 
been properly conceived and executed. The audit will ve rify how far the physical inputs 
committed in the RAP have been delivered and the services have been provided. In 
addition, the audit will evaluate whether the mitigation actions prescribed in the RAP 
have had the desired effect. 
To carry out the implementation of the RAP, third party consultants have been engaged 
along with funding agencies, DFCCIL conducts field visits in order to check proper 
implementation of RAPs along the stretches as part of Audit. 
As per the safeguard’s policies, project is in its commissioning stage are due for “E nd-
Term RAP Impact Evaluation of Land Acquisition and R&R Implementation” end term  
reports prepares in order to keep the process transparent for general assurance. 
The socio -economic status of the affected population will b e measured against the 
baseline conditions of the population before displacement, established through the 
census and socioeconomic studies. This evaluation will be undertaken after all RAP 
inputs including payment of compensation and R&R assistance have be en paid and 
other supplementary development initiatives have been completed prior to project 
closure. This evaluation will enable DFCCIL to undertake corrective actions, if any, as "
70,PDF page 70,"69 
 
recommended by evaluation before the project is complete. The third party i mpact 
assessment will be carried out at least twice during the project cycle including the end 
term evaluation. 
8.7  Resettlement Policy Framework 
There is a Resettlement Policy Framework (RPF) providing guidelines for 
identification and managing social im pacts. Addendum-2 (2018) is issued on 
14.12.2018 an addendum to Resettlement Policy Framework, 2011 (Revised in 2015). 
This will be applied as a guideline to projects undertaken by DFCCIL. It incorporates 
provisions relating to Negotiation (Mutual Consent)  Policy. The LA and R&R Policy 
including Entitlement Matrix and the implementation arrangements has been elaborated 
in the RPF, which will apply to the mitigation of any additional impacts identified 
during the implementation, that may be assessed in advan ce of undertaking civil work 
for that activity as per the terms of references adopted for carrying out social impact 
assessment for preparing this RAP. This procedure will also be applicable for any new 
or associated activities linked to this project.  
 
8.8    Corporate Environment Policy. 
  
The Environment Policy of DFCCIL is guided by its commitment to integrate 
environmental protection and social development in its mandates, in a proactive 
manner, to contribute towards sustainable development. To achieve  the fine balance 
among developmental imperatives and environmental wellbeing, DFCCIL gives due 
importance to environmental considerations in adopting the projects to minimize 
adverse impacts and risks to the environment and people that may be affected. Th is 
policy statement emphasizes DFCCIL’s sensitivity and concern to environmental 
issues, commitment towards compliance, and responsiveness towards environmental 
requirements of its projects. The Environment Policy is implemented through a well -
structured Environmental Management Framework (EMF) for sustainable development 
approach. 
At the onset of construction activity for constructing corridor, at the beginning with the 
aim and approach for Sustainable Development, DFCCIL has formulated its Corporate 
Environmental Policy and in year 2011 it got approved and embedded in all technical 
documents.  "
71,PDF page 71,"70 
 
 
  8.9 Corporate Safety, Health and Environment (SHE) Policy and SHE Manual. 
 
In DFCCIL, an approved Corporate Safety, Health and Environment (SHE) Policy is in 
place. SHE Policy aims to ensure sustainable development and safe, healthy work 
environment and pollution free condition. Corporate Safety, Health and Environment 
Policy were formulated in 2012. Keeping in view of the SHE Policy, Safety, Health and 
Environment (SHE) Manual has been prepared. SHE Manual is a reference document 
which provides elaborate guidelines on Safety, Occupational Health, Environment 
Protection and Penalties for not adhering to SHE procedures at DFCC work sites. 
Safety, Health and Environment (SHE) Manual of DFCCIL was approved in 2013 and is 
a part of all works tenders providing the minimum yardstick on the project safety and 
health issues. Contractors are being made to commit for implementation of all the SHE 
provisions.  
Dedicated Freigh t Corridor Corporation Ltd. is committed to conduct business with 
commitment to excellence in Safety, Health and Environment ensuring sustainable 
development, safe & healthy work environment and pollution free condition at work 
places. We in DFCCIL shall – 
(i) Establish and maintain effective standards for safety of employees & workers, assets and 
provide adequate control of the safety, health, pollution risk arising from work activities. 
(ii) Comply with relevant Rules and Regulations on Safety, Occupational Health  and 
Environment Protection. 
(iii) Integrate Safety, Health and Environment and Practices in work activities. 
"
72,PDF page 72,"71 
 
(iv) Plan, Design, Construct, Operate and maintain all facilities to secure sustained Safety, 
Health and Environment Protection. 
(v) Create awareness on SHE and develop required level of knowledge & skills in all 
personnel through need based training, internal communications and continue to enhance 
the said skills & competence. 
(vi) Make reasonable effort to prevent accident, work related ill health during construction  & 
operation and preservation of ecological balance & heritage. 
 
8.10       Current Initiatives  
8.10.1   Environment Impact Assessment (EIA) is critical for obtaining Environmental Clearance 
(EC) as per EIA Notification dated 14.09.2006. Though Railway Pr oject is exempted from 
Environmental Clearance (EC) as per EIA Notification dated 14.09.2006, DFCCIL has 
proactively conducted Environment Impact Assessment (EIA) study for all DFCCIL 
sections, prepared Environmental Assessment (EA) report & Environmental 
Management Plan (EMP) . All the contractors are required to comply Environmental 
Management Plan during construction phase for achieving the goal of Sustainable 
Development, besides obtaining all applicable Regulatory Clearances.  
 
8.10.2 To encourage green  energy, DFCCIL has taken Steps for utilizing alternate source  of 
energy on DFCCIL network. Solar plants have been planned along the corridor & its 
corporate building.  Provision of Energy Efficient LED light fitting, occupancy sensor & 
efficient monitorin g & control mechanism for operation of Air -conditioning & lighting 
services also has been made & implemented. New Air -conditioning system of 30 hp 
capacity working on inverter technology & environment friendly R -410 refrigerant has 
been provided.  
 To improve the quality of life of the communities and stakeholders on a sustainable basis, 
Project “Jyoti” under Corporate Social Responsibility (CSR) is also being executed 
through Central Electronics Limited, a PSU under Ministry of Science & Technology of 
India, under which the LED based street lightning system has been specifically designed for 
better illumination. New -design LED luminaries provide the opportunity to use energy 
more efficiently and in a more environment-friendly way in lightning applications.  
DFCCIL has also conducted “Energy Optimization Study’ as initiatives for Conservation 
of Energy.  Through use of Energy Efficient Train Performance Software to calculate 
optimal driving strategies for various train configurations & routes.  
Based on the routes & train configuration, Driver Advice System (DAS) shall be developed 
with the following features:  
• Accurate inputs regarding driving style provided in loco cab.  
•   Real time in cab advisory systems that assist drivers to save energy & improve tra in 
operation.  
•   Saving in energy consumption of 8-10% possible.  
 "
73,PDF page 73,"72 
 
8.10.3 DFCCIL is also actively playing a key role in community Development Work. DFCCIL 
recognizes its social responsibility and provide utmost importance to communities with 
whom we shar e local resources. The corporation requires land for construction of track, 
Stations. During construction, all individuals, whose land is acquired, are consulted and th e 
affected persons are duly compensated for their land as per the Entitlement Matri x. Beyond 
the land compensation DFCCIL also provides  Resettlement and Rehabilitation assistance 
within the social entitlement framework and various community developments works in 
villages adjoining the track. Like Pond Development, Vermicomposting Pit in Villa ges, 
construction of religious structure and public toilet etc.   
8.10.4   DFCCIL contribution in enhancement of Carbon Sink has been increased. Beside double 
the plantation vis a vis tree cut during construction phase DFCCIL is also distributing tree 
sampling as a token of honor and regular plantation drive during all events. Separate fund is 
earmarked for Green Belt Development and Plantation Drive.  Opportunity for minimizing 
trees cutting while construction activities has been carefully envisaged during construction 
phase. All possible measures for saving tree has been taken and less trees has been cut as 
targeted to be cut in Environmental Assessment Report. Turfing to minimize the soil 
erosion have also been proposed at high embankment area. 
 
8.10.5 Climate Change Risk Impact Assessment of the DFC project in the sections, Mughalsarai -
Bhaupur and Khurja-Pilkhani, was conducted to assess the impact of environmental changes 
in the long term on the project. 
 
For ensuring environmental Safeguard DFCCIL has a third party monitoring Consultants i.e. 
Social and Environmental Monitoring and Review Consultants (SESMRC). Regular 
ccoordination with other stakeholder or Ministries for providing Environment Friendly, less 
Polluting, clean and hygienic environment to cu stomers during Operational Phase being 
regular ensured. 
 
 DFCCIL is taking various initiatives for “Conservation of Water ” via adopting Rain water 
harvesting provision at various location. Reuse of generated waste water after treatment, use 
of water efficient fixtures to reduce water consumptions.   DFCCIL have earmarked budget 
for different activities under Swachh Bharat Mission / Namami  Gange and energy 
conservation equipment. All efforts are being made to further reduce carbon footprint on 
DFCCIL. 
 
Regular capacity building workshop to sensitize the officials on project related 
Environmental issues are conducted by DFCCIL in collaboration with other agencies 
regularly. 
 
 During the operation phase of DFC necessary measures for amelioration of air, noise, 
vibration along the newly constructed railway line, effectiveness of the Noise Barriers, waste 
and energy use reduction measures shall be taken up by DFCCIL.  
 "
74,PDF page 74,"73 
 
8.11    Towards a Low Carbon Freight Transportation System  
 The implementation of the DFC is exp ected to generate two major impacts on the freight 
movement; shift of freight from road to the low carbon intensive mode rail transport and 
inherent improvement in energy efficiency of freight rail through adoption of improved 
technologies. As a responsibl e corporate entity, DFCCIL undertook study of Green House 
Gas emissions saving with implementation of eco -friendly electrified bulk goods movement 
DFC projects. 
The Eastern DFC would produce less GHG emissions as compared to the Western DFC 
since the Western DFC would cater to a higher volume of traffic load than the Eastern DFC. 
Coal and iron -ore transportation are the major contributors to the GHG emissions of the 
Eastern DFC while container and RO -RO transportation are the major contributors of the 
GHG emissions of the Western DFC. 
On a cumulative basis (over 30 years), in the Eastern Corridor, the No -DFC scenario 
produces 2.5 times more GHG emissions than the DFC scenario while for the Western 
Corridor, the No -DFC scenario produces 6 times more GHG emiss ions than the DFC 
scenario as depicted in following chart.  
 
 
 
 
 
 
 
 
 
 DFC intends to follow a low carbon path adopting various technological options which 
can help DFC to operate in a more energy efficient fashion and at the same time explore 
options to of fset its own GHG emissions by inves ting in low carbon assets such as solar 
power, wind power and afforestation.  Some of the interventions which could reduce 
GHG emissions are communication based train control (CBTC), driver advice system, 
regenerative bra king, aerodynamic profiling in rolling stock and on -board lubrication 
system. DFC project team is working closely with various experts and technology 
suppliers to assess feasibility of implementing these ideas for low carbon growth.  
                                                           
                                                         ********** 
  
[India’s Intended Nationally Determined Contribution (INDC) Document to UNFCCC, 2015]  
In the first phase, two corridors viz. 1463 km Mumbai -Delhi ( Western Dedicated Freight 
Corridor) and 1856 km Ludhiana -Dankuni (Eastern Dedicated Freight Corridor ) are being 
constructed. The project is e xpected to reduce emissions by about 457 million -ton CO 2 
over a 30-year period. "
75,PDF page 75,"74 
 
 
                                                                     CHAPTER – IX 
                                                   MATERIAL MANAGEMENT 
The operation of train movement in various section is about to begin soon. DFCCIL has very 
big network running across length and width of the country and for maintenance of the 
assets/running of trains. It requires an efficient and robust Material Man agement system to 
cater for the material’s need. 
The procurement system needs to be transparent and competitive with view to deliver the 
right material at right time and ensure value for money. 
A new SAP system is under implementation and the material mana gement module of SAP 
will be used for auto generation of the demands for various items required regularly. 
Similarly the demands for the items required once in a while will be generated as and when 
required on the system. 
A team of procurement specialist w ill be responsible for material availability and make 
procurement through e-tendering over CRIS’s web portal www.ireps.gov.in. This portal will 
facilitate the organisation in finalising the tender online and no manua l proceedings/noting 
will be required for finalisation of tender. The acceptance of the contract will go to the 
vendors online with digital signature. 
Special focus will be on having a long term contracts with vendors for ensuring regular and 
smooth supply of materials. 
The items available on GeM will be procured through GeM portal and material management 
module of SAP will be linked with GeM procurement for accounting and payment purpose. 
Further, post contract activities viz: amendment in contracts, recei pt and acountal of material, 
bill submission of vendor and payment to vendor to be made through SAP online. 
In the area of warehousing the Automatic Storage and Retrieval system will be required. 
Similarly for material handling, transportation and its desp atch to various locations, a 
comprehensive contract mechanism will be required to be put in place. 
 
 
 
 
 
 
 
 "
